word2;word;description;language;sentiment ;;sentiment list 
chindogu;chindogu;A person seemingly inventing ingenious everyday gadgets that seem like an ideal solution to a particular problem, but are in fact nothing more than a useless gag; Japanese;intelligence/stupidity;;
abendrot;abendrot;The colour of the sky when the sun is setting; German;nature/beauty;;
arigata-meiwaku;arigata-meiwaku;When someone does something for you that you didn’t want them to do, and having to express gratitude for the act; Japanese;negative;;
mambo;mambo;Someone that still lives with their mother; Swedish;negative;;
poshlost (пошлость);poshlost;"Used to describe situations where things are being sold under the premise ""that the greatest joy can be bought"""; Russian;joy;;
razbliuto;razbliuto;The feeling for someone you used to love but no longer do; Russian;love;;
vaitherichal;vaitherichal;The feeling that you get when someone has something that you lack, however you are not jealous, yet instead feel as though they should not possess that because you don't; Tamil;negative;;
jijivisha;jijivisha;The strong, eternal desire to live and to continue living; Hindi;joy;;
la douleur exquise;la;The pain that comes from wanting someone you can’t have; French;sadness;;
wei-wu-wei;wei-wu-wei;"""Action without action"" or effortless doing; conscious non-action; the deliberate and principled decision to do nothing for a reason."; Chinese;calm/spiritual;;
bon vivant;bon;Someone who enjoys and appreciates the good life.; French;joy;;
bimyou;bimyou;"Not bad, or ""meh"""; Japanese;neutral;;
yuanfen;yuanfen;A relationship by fate or destiny. This is a complex concept. It draws on principles of predetermination in Chinese culture, which dictate relationships, encounters and affinities, mostly among lovers and friends.; Chinese;love;;
l'appel du vide;l'appel;Describes the instinctive urge to jump from high places; French;neutral ;;
beau geste;beau;A gesture noble in its nature or intention but ultimately meaningless in substance; French;neutral;;
nunchi;nunchi;"The art of listening to a person and identifying his or her moods or emotions. The literal combination of ""eye"" and measure"""; Korean;intelligence/stupidity;;
cwtch;cwtch;Wrapping of your arms around someone to make them feel safe in the world; Welsh;love;;
ignōrāmus;ignōrāmus;Lit. ‘we do not know’ (e.g., the spirit of scientific enquiry), or ‘we take no notice of’ (used in legal contexts, e.g., when deemed evidence to be inadmissible).; Latin;intelligence/stupidity;;
mechaye;mechaye;"Joy, pleasure; something that gives great joy/pleasure."; Yiddish;joy;;
nutro (нутро);nutro;"Something that governs your inner being; your core"; Russian;calm/spiritual;;
mysig;mysig;To describe anything with an unexpectedly relaxing vibe; Swedish;calm/spiritual;;
sóphrosuné (σωφροσύνη);sóphrosuné;"excellence of character and soundness of mind; leads to other beneficial qualities, such as moderation and self-control."; Greek;intelligence/stupidity;;
philotimo;philotimo;Love of honour; Greek;love;;
dolgostroj (долгострой);dolgostroj;A construction project that seems to go on forever; Russian;negative;;
mahalo;mahalo;Thankfulness, appreciation, and gratitude as a way of living; Hawaiian;calm/spiritual;;
dozywocie;dozywocie;Parental contract with children guaranteeing lifelong support; Polish;love;;
kaapshljmurslis;kaapshljmurslis;The feeling of being cramped on public transportation; Latvian;negative ;;
harkla;harkla;The little coughing noise one makes, often before giving a speech or dislodging a piece of cinnamon bun from their throat; Swedish;neutral;;
estrenar;estrenar;The experience of wearing something for the first time; Spanish;neutral ;;
kummerspeck;kummerspeck;"Weight you gain because you're unhappy (""sorrow bacon"")"; German;sadness;;
dayenu;dayenu;"""It would have been enough"""; Hebrew;negative;;
lagom;lagom;Not too much and not too little; Swedish;neutral ;;
entzuterre;entzuterre;A distance that allows you to listen to another conversation; Basque;neutral ;;
tôpäj (төпәй);tôpäj;Interjection that is used to forewarn a child of falling; Bashkir;fear;;
koi no yokan;koi;The feeling upon meeting someone that falling in love with them is inevitable.; Japanese;love;;
oodal;oodal;Overly exaggerated, fake anger that follows a lovers’ quarrel; Tamil;anger/frustration;;
faamiti;faamiti;The sound made by sucking air past the lips in order to gain the attention of a dog or child; Samoan;neutral;;
attaccabottone;attaccabottone;Something that you long to get away from but struggle to; Italian;negative;;
boketto (ぼけっと);boketto;gazing vacantly into the distance (without thought or sense of self).; Japanese;calm/spiritual;;
ripsaspis (ρίψασπις);ripsaspis;"Literal: ""the one that throws down his shield""; the one that gives in with dismay"; Greek;fear;;
komorebi (木漏れ日);komorebi;"Lit. wood is ‘leaking’ sunlight; dappled sunlight filtering through leaves."; Japanese;nature/beauty;;
morgenfrisk;morgenfrisk;Feeling rested after a good night's sleep; Danish;calm/spiritual ;;
kuebiko;kuebiko;A state of exhaustion inspired by acts of senseless violence; Japanese;negative;;
rubatosis;rubatosis;The unsettling awareness of your own heartbeat; English;calm/spiritual;;
ghalidan;ghalidan;Rolling from side to side as lovers do; Tamil;love;;
wú (無);wú;"Negative, void, nothingness, non-being; can imply 'neither yes nor no'."; Chinese;negative;;
erklärungsnot;erklärungsnot;The state of having to quickly explain yourself; German;fear;;
ethanaavadhu;ethanaavadhu;"""Can't put it any better"""; Tamil;joy;;
paasa;paasa;A person who leads someone on (intentionally or not). Appearing as if they are genuinely interested romantically when they aren’t; Tagalog;love;;
gezellig;gezellig;A warm feeling of cozyness, but also have good times with friends at a party.; Dutch;joy ;;
bajativo;bajativo;A post-meal drink to help with digestion; Tamil;food/drink;;
erinmek;erinmek;"Not doing something you have to do just because you don’t want to; being a prick"; Nogay;negative;;
linslus;linslus;"Someone who always wants to have their face in a photo. Literal translation: ""lens louse"""; Swedish;negative;;
seny;seny;Common sense, is a form of ancestral Catalan wisdom or sensibleness. It involves well-pondered perception of situations, level-headedness, awareness, integrity, and right action; Catalan;intelligence/stupidity;;
hygge;hygge;A quality of cosiness and comfortable conviviality that engenders a feeling of contentment or well-being.; Danish;calm/spiritual ;;
naz;naz;The pride that comes from knowing that you are loved no matter what you do; Urdu;joy;;
waldeinsamkeit;waldeinsamkeit;The feeling of solitude in the woods; German;calm/spiritual ;;
guān xì (關係);guān;"Cultivating relationships; reciprocal connections; networking; social karma."; Chinese;love;;
hiraeth;hiraeth;A deep longing for home; Welsh;anticipation/nostalgia;;
rè nào (熱鬧);rè;Not only fun and lively, but also has a special vibe that makes everyone want to be there.; Chinese;joy;;
werifesteria;werifesteria;To wander longingly through the forest in search of mystery; English;calm/spiritual ;;
mencolek;mencolek;The trick when you tap someone lightly on the opposite shoulder from behind to fool them; Indonesian;humor ;;
avos';avos';Doing something without planning, without putting in much effort, yet counting on success; Russian;intelligence/stupidity;;
raspafiestas;raspafiestas;An adjective to describe a person who doesn't go until the party is over.; Spanish;neutral;;
nadryv;nadryv;"When a person releases intimate, deeply hidden feelings, sometimes that do not truly exist; imaginary, excessively exaggerated and distorted feelings"; Russian;neutral ;;
philoxenia (φιλοξενία);philoxenia;"Love of strangers, guests; a hospitable act of welcome."; Greek;love;;
charmolypi;charmolypi;"""Joy-making sorrow"". A mixed feeling of happiness while being sad."; Greek;neutral;;
zgabalj;zgabalj;Mixture of all the bad things in the world, combined; Serbian;negative;;
wintercearig;wintercearig;"Literally ""winter sorrow""; a feeling of deep sadness related to the cold, still, dark nature of winter"; English;sadness;;
jouska;jouska;A hypothetical conversation that you compulsively play out in your head; English;neutral;;
stushevatsya;stushevatsya;To fade into the background; Russian;negative;;
aşermek;aşermek;The experience of craving certain foods while pregnant; Turkish;food/drink;;
opia;opia;the ambiguous intensity of eye-contact which can feel simultaneously invasive and vulnerable.; English;fear;;
merienda;merienda;It's something you eat between lunch and dinner (sandwich, fruit...). At 6pm or so. Kids never miss it.; Spanish;food/drink;;
sphallolalia;sphallolalia;Flirtatious talk that leads nowhere.; English;love;;
sehnsucht;sehnsucht;Thoughts and feelings about all facets of life that are unfinished or imperfect, paired with a yearning for ideal alternative experiences.; German;sadness;;
tsundoku;tsundoku;Acquiring reading materials but letting them pile up in one's home without reading them; Japanese;negative;;
tuerto;tuerto;A man with only one eye; Spanish;neutral;;
calacala;calacala;Children wading through water as they play; Tulu;joy;;
chandamama (చందమామ);chandamama;"Literally ""uncle moon""; referring to the moon when admiring it"; Telugu;joy;;
duende;duende;The mysterious power of art to deeply move a person; Spanish;joy ;;
schlemiel;schlemiel;An inept, clumsy person; Yiddish;intelligence/stupidity ;;
angrillen;angrillen;Beginning the grilling season; German;nature/beauty;;
anecdoche;anecdoche;A conversation in which everyone is talking, but nobody is listening.; English;intelligence/stupidity ;;
sokaiya;sokaiya;A man with a few shares in several companies who extorts money by threatening to come to the shareholders' meetings and cause trouble; Japanese;negative;;
durcheinander;durcheinander;"Complete mess; screwed up beyond all recognition"; German;negative;;
mātauranga;mātauranga;The comprehension, or understanding of the universe; Nogay;calm/spiritual ;;
titip;titip;To temporarily entrust something to a person; Indonesian;positive;;
uffda;uffda;A sympathetic word to be used when someone else is in pain. It combines ‘Ouch for you’ and ‘Oh, I’m sorry you hurt yourself’; Swedish;positive;;
monachopsis;monachopsis;The subtle but persistent feeling of being out of place; English;fear;;
redamancy;redamancy;"The act of loving the one who loves you; a returned love in full"; English;love;;
tuḷir (துளிர்);tuḷir;"Technically ""a baby leaf"", but it specifcally means a freshness tenderness, delicateness"; Tamil;love;;
frostbeule;frostbeule;"Someone that is very sensitive to cold. That friend that always feels cold. (""frost bite"")"; German;negative;;
te (德);te;"Virtue; morality; integrity; inner power."; Chinese;calm/spiritual;;
kenopsia;kenopsia;The eerie, forlorn atmosphere of a place that is usually bustling with people but is now abandoned and quiet.; English;fear;;
oneirataxia;oneirataxia;The inability to distinguish between fantasy and reality; English;intelligence/stupidity;;
listopad;listopad;The falling of the leaves; Russian;nature/beauty;;
tartle;tartle;The act of hesitating while introducing someone because you've forgotten their name; Scottish;negative;;
chantepleurer;chantepleurer;Singng and crying simultaneously; French;neutral;;
mauri ora;mauri;The essence that animates humans; Nogay;calm/spiritual;;
dugnad;dugnad;Communal work in a gathering for mutually accomplishing a task (ex: a knitting bee); Norwegian;positive;;
sonder;sonder;"the realization that everyone has a life as vivid and complex as your own); coined by John Koenig."; English;calm/spiritual ;;
resol;resol;That kind of sun light, non direct, when the sun is covered by clouds that still hurts the eyes.; Mallorquín;nature/beauty;;
lachesism;lachesism;The desire to be struck by disaster - to survive a plane crash, or to lose everything in a fire; English;neutral;;
levensgenieter;levensgenieter;"Someone who loves life deeply; is devoted"; Dutch;love;;
lekker;lekker;"Literal translation ""tasty"", but can be used to describe anything that has one's hearty approval"; Afrikaans;food/drink;;
fernweh;fernweh;To have a yearning to see distant places; German;love ;;
goya (گویا);goya;The transporting suspension of disbelief that can occur in storytelling; Urdu;calm/spiritual;;
yoisho;yoisho;A word without meaning, said when flopping into a chair after a hard day at work or lifting a heavy bag.; Japanese;neutral;;
desus;desus;The quiet, smooth sound of somebody farting although not very loudly; Indonesian;negative;;
schwärmerei;schwärmerei;Excessive or extreme enthusiasm or sentimentality.; German;love;;
shibui;shibui;Old school cool; Japanese;joy;;
moriturism;moriturism;The sudden reminder that you will one day no longer occupy this earth; English;fear;;
solkatt;solkatt;The glimmer that reflects the sunshine off a wristwatch; Swedish;nature/beauty;;
nedoperepitj (недоперепить);nedoperepitj;To drink more than one should have, but less than one would have wanted. To fail to drink too much.; Russian;food/drink;;
ádvaita (अद्वैत);ádvaita;"non-dual; the notion that there is only one reality."; Sanskrit;calm/spiritual;;
tempus fugit;tempus;Time flies, flees, escapes.; Latin;neutral;;
adroit;adroit;"Lit. according to right; skilled, resourceful; dexterous."; French;intelligence/stupidity;;
chaval al hazman (חבל אל הזמן);chaval;"Literally ""shame on time""; referring to an amazing experience that you don't want to end"; Yiddish;anticipation/nostalgia;;
półtora;półtora;Specific word for one and a half of something; Polish;neutral;;
sobremesa;sobremesa;After-dinner conversation; Spanish;food/drink;;
arumpu (அரும்பு);arumpu;A bud, but specifically referring to the stage where it is just starting to bud; Tamil;nature/beauty;;
wejbet;wejbet;Unwanted/inconvenient social and family obligations that are somewhat necessary to maintain good relations; Arabic;negative;;
andria (ανδρεία);andria;Both valour and courage, expressed in actions in front of the face of danger; Greek;positive;;
istories me arkoudes;istories;"Literal: 'stories with bears'; stories that are so crazy, they can't be true"; Greek;neutral ;;
aimonomia;aimonomia;Being scared to learn the ‘why’ of something; English;fear;;
desvelarse;desvelarse;To wake up in the middle of the night. Be unable to fall asleep.; Spanish;negative;;
extrawunsch;extrawunsch;Someone who is slowing things down by being fussy, making everything more complicated than necessary; German;negative;;
janteloven;janteloven;"Jante’s law; a set of social codes or norms that emphasize the importance of collective success rather than individual"; Norwegian;positive;;
zažitjsja (зажиться);zažitjsja;To keep living beyond the point where one feels they would be better off dead; Russian;negative;;
sortable;sortable;"adj. Someone you can take out without fear of being embarrassed, usually used to refer to friends or family members. e.g. ""Elle n'est pas sortable."""; French;positive;;
shadenfreude;shadenfreude;Pleasure derived by someone from another person's misfortune.; German;negative;;
insouciant;insouciant;Free from worry, concern, or anxiety; English;joy;;
acoy;acoy;Something that is either very positive or negative; Indonesian;neutral ;;
bilita mpash;bilita;Opposite of a nightmare; Bantu;joy;;
vagary;vagary;An unpredictable instance, a wandering journey, a whimsical, wild, or unusual idea, desire, or action; English;joy;;
vorfreude;vorfreude;The joyful, intense anticipation that comes from imagining future pleasures; German;anticipation/nostalgia;;
erbsenzähler;erbsenzähler;"Literally ""a person who literally counts their peas""; someone who is nitpicky and always trying to make things perfect"; German;intelligence/stupidity ;;
tokka;tokka;A large herd of reindeer; Finnish;nature/beauty;;
kelema;kelema;Age in which you have strength, vigor and a person is considered productive.; Maya;intelligence/stupidity ;;
fremdschämen;fremdschämen;To be embarrassed by something somebody else did; German;fear;;
fucha;fucha;To use company time and resources for one's own purposes; Portuguese;negative;;
muskelkater;muskelkater;"Charley horse (""muscle cat"")"; German;nature/beauty;;
schnapsdrossel;schnapsdrossel;A person that drinks a lot but rarely gets drunk; German;food/drink;;
lebensmüde;lebensmüde;Weary of life; German;negative;;
dor;dor;The heartbreak and sense of longing you feel because you’re separated from your love; Romanian;sadness;;
l’chaim (לְחַיִּים);l’chaim;Lit. ‘to life’.; Hebrew;joy;;
gigil;gigil;The urge to pinch or squeeze something that is unbearably cute; Tagalog;joy;;
packesel;packesel;The person who’s stuck carrying everyone else’s bags on a trip; German;negative;;
löyly;löyly;The steam that rises from the sauna heater when water is thrown on it; Finnish;nature/beauty;;
frustfressen;frustfressen;Excessive eating because of frustration; German;food/drink;;
thimru;thimru;Used to describe sharp qualities or features; Tamil;intelligence/stupidity;;
wegbier;wegbier;A beer you're having on your way somewhere (i.e. a party); German;food/drink;;
jugaad (जुगाड);jugaad;the ability to 'make do' or 'get by'.; Hindi;intelligence/stupidity;;
mandilón;mandilón;A male who is super dedicated to his girlfriend, as compared to his friends; Spanish;love;;
irusu;irusu;Pretending to be out when someone knocks at your door; Japanese;fear;;
engili (ఎంగిలి);engili;Having contacted another's mouth directly or indirectly via hand or utensil that is not fit for consumption.; Telugu;negative;;
ngaobera;ngaobera;A slight inflammation of the throat caused by screaming too much; Pascuense;negative;;
nakakapag pabagabag;nakakapag;"Something that brings about excessive anxiety or restlessness for a period of time; something that is making you nervous"; Tagalog;fear;;
liberosis;liberosis;The desire to care less about things.; English;joy;;
vybafnout;vybafnout;"To jump out and say ""boo"""; Czech;fear;;
glückspilz;glückspilz;"A lucky person (""lucky mushroom"")"; German;joy;;
koshatnik;koshatnik;A dealer in stolen cats; Russian;negative;;
en plein air;en;"Outdoors; in the open air."; French;nature/beauty;;
piñcu (பிஞ்சு);piñcu;Young, baby fruit; Tamil;food/drink;;
aduantas;aduantas;Describes the angst that comes with being in an unfamiliar place and among unfamiliar people; Irish;fear ;;
erkelmek;erkelmek;Teasing someone with repeating what they say; Nogay;humor ;;
odnoliub;odnoliub;"Someone who has only one love in his or her life; someone who is capable of loving only one at a time"; Russian;love ;;
jayus;jayus;A joke that is so unfunny (or told so badly) that you just have to laugh.; Indonesian;humor ;;
age-otori;age-otori;The bad feeling one gets after a terrible haircut; Japanese;sadness;;
eunoia;eunoia;"A well-mind; beautiful thinking"; Greek;intelligence/stupidity ;;
shouganai;shouganai;It cannot be helped.; Japanese;negative;;
rizq;rizq;Life's provision of account. Often used in daily speech when someone wasn’t able to achieve something, it wasn’t in their Rizq.; Urdu;negative;;
décidément;décidément;When coincidences occur or when events repeat themselves by chance (for example, when you run into the same person many times in one week); French; neutral ;;
drachenfutter;drachenfutter;A gift to your significant other as a form of apology; German;love ;;
zhaghzhagh;zhaghzhagh;The chattering of teeth from the cold or from rage; Tamil;negative;;
rhwe;rhwe;To sleep on the floor without a carpet, drunk and naked; Tsonga;negative;;
kertek;kertek;The sound of dry leaves or twigs being trodden underfoot; Malay;nature/beauty;;
gula;gula;"Gluttony, greed; indulgence; eating simply for the taste (i.e., not from hunger)."; Spanish;food/drink ;;
apomakrysmenophobia;apomakrysmenophobia;The sudden fear that the relationships you posses are shallow or lack depth; English;fear ;;
inssa;inssa;Short word of insider = trendy people who catch up with the trends; Korean;positive;;
kucir;kucir;A tuft of hair left to grow on top of an otherwise bald head; Indonesian;neutral;;
goesting;goesting;Looking forward to, can't wait, have an appetite for; Dutch;anticipation/nostalgia;;
rire dans sa barbe;rire;To laugh in your beard quietly while thinking about something that has happened; French;joy ;;
aeipathy;aeipathy;"A continued passion; an unyielding disease"; English;neutral ;;
karelu;karelu;The mark left on the skin by wearing something tight; Tulu;neutral ;;
firgun (פירגון);firgun;Ungrudging and overt (expressed) pride and happiness at other's successes.; Hebrew;joy ;;
pelinti;pelinti;To move hot food around in your mouth; Buli;food/drink;;
commuovere;commuovere;"""Heartwarming,” but specifically refers to a story that moved you to tears"; Italian;joy ;;
exulansis;exulansis;The tendency to give up trying to talk about an experience because people are unable to relate to it.; English;negative;;
tinga;tinga;Particles of food left between teeth; Tagalog;food/drink ;;
lha’i rnal ‘byor (ལྷའི་རྣལ་འབྱོར);lha’i;"Deity meditation/yoga; an advanced practice in which one visualises interacting with, or ‘accomplishing’ (i.e., being), a deity."; Tibetan;calm/spiritual ;;
han;han;"Sorrow, regret, grief, resentment, ""a dull ache of the soul"", yet passive and not revenge seeking; waiting for the injustice to be righted"; Korean;sadness;;
majime (真面目);majime;"Reliable, responsible, diligent; seriousness, formality."; Japanese;intelligence/stupidity ;;
egyszer volt budán kutyavásár;egyszer;"Literal: ""there was a dog-market in Buda only once""; translates to essentially a once in a lifetime opportunity"; Hungarian;positive;;
ninot;ninot;A ninot is a figure with human representation. In a conversation, it means a person without personality.; Valencian;negative;;
arbejdsglæde;arbejdsglæde;"Literally ""work happiness""; the feeling of happiness provoked by a satisfying job"; Danish;joy ;;
vabba;vabba;To be at home with the kids; Swedish;neutral ;;
gökotta;gökotta;To rise at dawn in order to go out and listen to the birds sing; Swedish;calm/spiritual ;;
rückkehhrunruhe;rückkehhrunruhe;The feeling of returning home after an immersive trip only to find it fading rapidly from your awareness.; German;neutral ;;
taraadin;taraadin;A happy solution for everyone; Arabic;joy ;;
morriña;morriña;Nostalgia that you feel when you are far from home; Galician;anticipation/nostalgia;;
volya (воля);volya;"""Freedom"" and ""will"", but also vast natural landscape"; Russian;nature/beauty;;
noniná;noniná;Triple negation. Means yes, with emphasis.; Spanish;positive;;
að redda;að;To save someone or fix something in a time sensitive manner.; Icelandic;positive;;
sud’ba (судьба).;sud’ba;Fate, destiny, fortune; Russian;neutral ;;
xíng qì (行氣);xíng;Volitionally (e.g., mentally) circulating or directing qi.; Chinese;calm/spiritual ;;
tuntuvar;tuntuvar;The day before a wedding; Nogay;joy ;;
dépaysement;dépaysement;The feeling of being in an environment that you are not used to; French;neutral ;;
cynefin;cynefin;"A place where a person or an animal feels it ought to live and belong; it is where nature around you feels right and welcoming"; Welsh;nature/beauty;;
surströmmingspremier;surströmmingspremier;The first day of the year where it acceptable eat rotten herring.; Swedish;food/drink;;
tampo;tampo;"Behaviour in which a person withdraws his or her affection or cheerfulness from a person who has hurt his or her feelings; when you're disappointed with someone yet do not express it directly"; Tagalog;sadness;;
eunoirophrenia;eunoirophrenia;The peace of mind that comes with having pleasant dreams.; Greek;calm/spiritual ;;
nementia;nementia;Feeling nervous or anxious in your own skin; English;fear;;
strikhedonia;strikhedonia;"The joy of being able to say ""to hell with it"""; English;joy ;;
jumpa;jumpa;To jump from one floating piece of ice to another; Swedish;nature/beauty;;
rauxa;rauxa;"Sudden determination or action; rapture"; Catalan;positive;;
gattara;gattara;A woman catlover who feeds alley cats or spends time with domestic cats; Italian;neutral ;;
schnapsleiche;schnapsleiche;"So who passed out drunk (""liquor corpse"")"; German;food/drink;;
nuchshlepper;nuchshlepper;"Someone who follows another person; a hanger-on"; Yiddish;love;;
onism;onism;The frustration of being stuck in just one body, that inhabits just one place at a time.; English;anger/frustration ;;
pomicione;pomicione;A man who seizes any chance of being in close contact with a woman; Italian;love ;;
zeg;zeg;The day after tomorrow; Georgian;neutral ;;
numinous;numinous;Describing an experience that makes you fearful yet fascinated, awed yet attracted - the powerful, personal feeling of being overwhelmed an inspired; English;fear;;
wú jí (無極);wú;"Lit. without highest point, utmost point, ridgepole; ultimate, boundless, limitless; the primodial universe; original nature."; Chinese;calm/spiritual;;
jaksaa;jaksaa;A lack of enthusiasm to do something; Finnish;negative;;
nepenthe;nepenthe;Something that helps you forget grief or suffering; Greek;sadness;;
eshaku;eshaku;A slight bow of around 15 degrees; Japanese;neutral ;;
selcouth;selcouth;Rare, strange, marvellous, wondrous.; English;joy ;;
gemütlichkeit;gemütlichkeit;An atmosphere of belonging, relaxation, chilled music, great food and drink; German;calm/spiritual ;;
kairosclerosis;kairosclerosis;A moment in which you realize that you're happy but simultaneously destroy that happiness by overthinking it; English;joy ;;
culaccino;culaccino;The mark left on the table by a cold glass; Italian;food/drink ;;
kusukusu;kusukusu;The suppressed giggling and tittering of a group of women; Japanese;joy ;;
mångata;mångata;The roadlike reflection of moonlight on water; Swedish;nature/beauty;;
kaṟpu (கற்பு);kaṟpu;Determination to chastity, even in the face of adversity; Tamil;love ;;
qualunquismo;qualunquismo;"Political apathy; people who really don’t care very much about politics and related issues in society"; Italian;negative;;
ohrwurm;ohrwurm;"A melody or song that gets stuck in your head (""ear worm"")"; German;neutral;;
geis;geis;"Taboo, prohibition; injunction; something you do (or don’t do), upon which your life depends, or which defines your life."; Irish;positive;;
pantoffelheld;pantoffelheld;"Literally ""slipper hero""; A man who may act tough in front of his friends but can’t stand up for himself against his wife"; German;fear;;
bababa ba?;bababa;Is it going down? (In the context of an elevator); Tagalog;neutral;;
eomchina;eomchina;"Contraction of the phrase ""Mom's friend's son"". Academically successful (and possibly wealthy) male student who is the target of envy among others"; Korean;negative;;
